iter	Passed	Remaining
985	163164	2316
986	163311	2151
987	163508	1985
988	163658	1820
989	163811	1654
990	163981	1489
991	164138	1323
992	164292	1158
993	164454	992
994	164649	827
995	164797	661
996	164972	496
997	165128	330
998	165278	165
999	165443	0
0
